File: 10037734.txt  Weight: 2.8861723552868354E-4 
File: 11897804.txt  Weight: 0.002387150656689631 
File: 11916953.txt  Weight: 0.004693847136071988 
File: 11917041.txt  Weight: 0.0010315655267504873 
File: 11927634.txt  Weight: 0.0010986371557246788 
File: 11978638.txt  Weight: 0.03842217212681631 
File: 11978660.txt  Weight: 0.004568125138730434 
File: 11983636.txt  Weight: 0.007075342088888211 
File: 11983644.txt  Weight: 0.004724643512430093 
File: 12011047.txt  Weight: 0.009797182064244073 
File: 12016211.txt  Weight: 0.0011700564018182352 
File: 12019295.txt  Weight: 0.015324412180773352 
File: 12032246.txt  Weight: 5.6835572062144814E-5 
File: 12042281.txt  Weight: 4.906731469739315E-4 
File: 12045207.txt  Weight: 1.0649870768633297E-4 
File: 12048286.txt  Weight: 3.5745270652962047E-4 
File: 12070204.txt  Weight: 3.428846982812722E-4 
File: 12070268.txt  Weight: 4.8252406264968277E-4 
File: 12077359.txt  Weight: 7.605175402106574E-4 
File: 12091261.txt  Weight: 0.0022705584893348294 
File: 12093789.txt  Weight: 0.001034937206237293 
File: 12101285.txt  Weight: 6.812306711723461E-4 
File: 12105192.txt  Weight: 0.010687083924431217 
File: 12110525.txt  Weight: 0.0107505783048126 
File: 12117776.txt  Weight: 2.5294688246215726E-4 
File: 12118068.txt  Weight: 0.0028985822485518746 
File: 12119352.txt  Weight: 5.583982310165985E-4 
File: 12121974.txt  Weight: 5.221181050586464E-4 
File: 12124458.txt  Weight: 0.001318310904040358 
File: 12145143.txt  Weight: 0.022651792715355248 
File: 12151296.txt  Weight: 0.013293285373946742 
File: 12167613.txt  Weight: 3.452834106383691E-4 
File: 12181315.txt  Weight: 5.608554461220293E-4 
File: 12196314.txt  Weight: 0.0037149589194964616 
File: 12351581.txt  Weight: 0.0011685906909819637 
File: 12381514.txt  Weight: 0.0035056615654764623 
File: 12393477.txt  Weight: 8.488645555921979E-4 
File: 12401716.txt  Weight: 0.008227169264291198 
File: 12411259.txt  Weight: 0.006856186471140927 
File: 12411443.txt  Weight: 5.029348908023149E-4 
File: 12414446.txt  Weight: 0.0012543142313170817 
File: 12435752.txt  Weight: 0.001107327789462204 
File: 12441294.txt  Weight: 2.4013921377837594E-4 
File: 12456513.txt  Weight: 0.003970521965066895 
File: 12456528.txt  Weight: 0.0075424203809542935 
File: 12488362.txt  Weight: 0.0024039425919770946 
File: 12490535.txt  Weight: 5.57443215090326E-4 
File: 12499373.txt  Weight: 5.580080749268097E-4 
File: 12515826.txt  Weight: 0.0010919696850084349 
File: 12556527.txt  Weight: 0.0020912984057338494 
File: 12562733.txt  Weight: 0.0030440534344525444 
File: 12566388.txt  Weight: 0.008725753779954814 
File: 12576327.txt  Weight: 3.9521992774544705E-5 
File: 12584275.txt  Weight: 2.2845053981383284E-4 
File: 12592009.txt  Weight: 3.317513060395512E-4 
File: 12620972.txt  Weight: 7.922407704063933E-4 
File: 12637260.txt  Weight: 0.027737364386820087 
File: 12637317.txt  Weight: 2.4990077760204945E-5 
File: 12644471.txt  Weight: 1.4591480249199088E-4 
File: 12644628.txt  Weight: 2.598462682814236E-4 
File: 12649166.txt  Weight: 3.01365498241411E-4 
File: 12668609.txt  Weight: 0.006798398422905316 
File: 12668610.txt  Weight: 0.0018382367952783304 
File: 12668626.txt  Weight: 7.064526121024852E-4 
File: 12676649.txt  Weight: 0.03026987556514127 
File: 12714567.txt  Weight: 7.253363518464652E-4 
File: 12716770.txt  Weight: 0.030524447384776845 
File: 12719433.txt  Weight: 4.4657983783100337E-4 
File: 12730216.txt  Weight: 0.001143323653028878 
File: 12730545.txt  Weight: 0.0016252063158108574 
File: 12730547.txt  Weight: 1.5089541426466154E-4 
File: 12746301.txt  Weight: 0.069281092866526 
File: 12750176.txt  Weight: 1.1167790407311498E-4 
File: 12765956.txt  Weight: 0.006105193414464448 
File: 12765971.txt  Weight: 0.020417251950212684 
File: 12783850.txt  Weight: 8.513606451018298E-4 
File: 12810925.txt  Weight: 0.003182148081150866 
File: 12888514.txt  Weight: 1.3724315331174757E-4 
File: 12913066.txt  Weight: 9.003846723169309E-4 
File: 12915482.txt  Weight: 3.2299260005419543E-4 
File: 12923245.txt  Weight: 0.0015404993721013914 
File: 12925569.txt  Weight: 5.190024658780116E-4 
File: 12925570.txt  Weight: 7.402949780572442E-4 
File: 12930775.txt  Weight: 4.401547928318436E-4 
File: 12941771.txt  Weight: 0.056557573248180885 
File: 12948993.txt  Weight: 9.77205491725075E-4 
File: 12948999.txt  Weight: 7.628568583887856E-4 
File: 12949053.txt  Weight: 3.5526083182701453E-4 
File: 12952867.txt  Weight: 7.363436864854269E-4 
File: 12954760.txt  Weight: 4.092554048720108E-4 
File: 12959950.txt  Weight: 0.0 
File: 12959981.txt  Weight: 0.014590442248354988 
File: 12966032.txt  Weight: 0.003519031617205586 
File: 12970169.txt  Weight: 0.04386615316639143 
File: 12975454.txt  Weight: 0.012635539659403214 
File: 14500696.txt  Weight: 0.0011201338917123398 
File: 14506131.txt  Weight: 0.0010762495978027045 
File: 14559775.txt  Weight: 0.004285200676082482 
File: 14570892.txt  Weight: 4.425841874089672E-4 
File: 14602710.txt  Weight: 0.0013264657294006748 
File: 14645205.txt  Weight: 0.0013038949896720122 
File: 14662775.txt  Weight: 6.831658647578542E-4 
File: 14676296.txt  Weight: 3.570194097981547E-4 
File: 14693707.txt  Weight: 0.01899410959154745 
File: 14693715.txt  Weight: 7.305324365969277E-4 
File: 14709545.txt  Weight: 0.0019574220365782755 
File: 14709595.txt  Weight: 0.0022904956266923252 
File: 14718220.txt  Weight: 0.0030628396015823654 
File: 14718371.txt  Weight: 0.006926938656518784 
File: 14722160.txt  Weight: 0.01092294677272167 
File: 14724280.txt  Weight: 0.0015920320971500742 
File: 14739138.txt  Weight: 6.893230253207808E-4 
File: 14747300.txt  Weight: 0.011851321387396934 
File: 14752111.txt  Weight: 0.0011785706800834933 
File: 14752113.txt  Weight: 9.160988357664259E-4 
File: 14764623.txt  Weight: 0.014787765463337115 
File: 14769813.txt  Weight: 0.0 
File: 14871891.txt  Weight: 7.133622431130114E-4 
File: 14976144.txt  Weight: 0.009201777542502463 
File: 14976151.txt  Weight: 0.0023662455171269818 
File: 14976155.txt  Weight: 7.430937888606201E-4 
File: 14976159.txt  Weight: 0.005124044428113723 
File: 14976346.txt  Weight: 5.220400237962233E-4 
File: 14985348.txt  Weight: 0.0010163813143583293 
File: 14988278.txt  Weight: 0.011517534622749351 
File: 14996933.txt  Weight: 7.617206797599886E-4 
File: 14998784.txt  Weight: 0.003681109990051581 
File: 14998993.txt  Weight: 0.002012900358406385 
File: 15003956.txt  Weight: 0.0050964577446526325 
File: 15010367.txt  Weight: 3.4015923483957826E-4 
File: 15031292.txt  Weight: 4.373586689740176E-4 
File: 15047613.txt  Weight: 0.0012386915117955075 
File: 15073152.txt  Weight: 5.254435570948172E-4 
File: 15100223.txt  Weight: 0.003346157574331441 
File: 15115757.txt  Weight: 0.0021359275091206702 
File: 15115763.txt  Weight: 0.0017500073869688886 
File: 15117969.txt  Weight: 8.835708926006791E-4 
File: 15123735.txt  Weight: 6.172450072446096E-4 
File: 15123743.txt  Weight: 2.7018302186663823E-4 
File: 15126504.txt  Weight: 0.0011404465954935248 
File: 15128745.txt  Weight: 0.004356068472061152 
File: 15133109.txt  Weight: 4.450105810650576E-4 
File: 15149955.txt  Weight: 0.010843459902413035 
File: 15155853.txt  Weight: 0.0018226432234403395 
File: 15161906.txt  Weight: 5.289258769427645E-4 
File: 15166035.txt  Weight: 0.0027689563454553197 
File: 15181004.txt  Weight: 0.0013703054703146618 
File: 15187000.txt  Weight: 0.016839704468793824 
File: 15187241.txt  Weight: 2.7000744238399527E-4 
File: 15198969.txt  Weight: 0.0013483489933211988 
File: 15199052.txt  Weight: 0.01858043056184848 
File: 15215237.txt  Weight: 8.109945853943625E-4 
File: 15217901.txt  Weight: 0.0012276797492207427 
File: 15220210.txt  Weight: 0.004330026692087115 
File: 15229191.txt  Weight: 0.0015239660207541895 
File: 15238431.txt  Weight: 3.330748712848467E-4 
File: 15238435.txt  Weight: 0.0025462238423789255 
File: 15254017.txt  Weight: 0.001117345329982704 
File: 15271670.txt  Weight: 0.01918969115732872 
File: 15277370.txt  Weight: 0.021417205475634485 
File: 15277398.txt  Weight: 0.04772491234292579 
File: 15304676.txt  Weight: 6.0157970624568336E-5
File: 15319433.txt  Weight: 0.0011389551308681601 
File: 15322121.txt  Weight: 3.915791218924877E-4 
File: 15322125.txt  Weight: 0.0025484164491832283 
File: 15331662.txt  Weight: 0.002350669780991368 
File: 15342797.txt  Weight: 3.056024792105249E-4 
File: 15347684.txt  Weight: 0.0012239581478386769 
File: 15347685.txt  Weight: 0.0020640105333965767 
File: 15358734.txt  Weight: 0.001187793129939143 
File: 15367492.txt  Weight: 0.0058600430082891945 
File: 15385637.txt  Weight: 6.071660648044624E-6 
File: 15452128.txt  Weight: 0.0011004335924052642 
File: 15456764.txt  Weight: 9.301912989387553E-4 
File: 15466467.txt  Weight: 2.789875695098527E-4 
File: 15469980.txt  Weight: 3.188900956192062E-4 
File: 15483264.txt  Weight: 0.0010850882720779876 
File: 15483328.txt  Weight: 0.0 
File: 15504979.txt  Weight: 0.00733920586167399 
File: 15509565.txt  Weight: 2.0593022784726593E-4 
File: 15525657.txt  Weight: 1.4396098667209372E-4 
File: 15525661.txt  Weight: 5.256406422109321E-4 
File: 15537749.txt  Weight: 9.761275909631105E-4 
File: 15550470.txt  Weight: 0.019464329137598352 
File: 15557325.txt  Weight: 7.701072146008318E-4 
File: 15562247.txt  Weight: 0.0037763246884982933 
File: 15585578.txt  Weight: 6.130105572032972E-4 
File: 15591071.txt  Weight: 0.001173173956033749 
File: 15591316.txt  Weight: 3.7239738438445754E-4 
File: 15615711.txt  Weight: 3.326641220242856E-4 
File: 15615712.txt  Weight: 6.203769202842163E-4 
File: 15615715.txt  Weight: 4.805459158106834E-4 
File: 15615772.txt  Weight: 0.005998157412986864 
File: 15632261.txt  Weight: 0.0031337198660637937 
File: 15642747.txt  Weight: 0.00435592053783539 
File: 15664999.txt  Weight: 0.006245119628309058 
File: 15687382.txt  Weight: 0.0 
File: 15699049.txt  Weight: 0.0018166513457491642 
File: 15713685.txt  Weight: 0.035240991873787576 
File: 15713964.txt  Weight: 2.1729842932563555E-4 
File: 15731393.txt  Weight: 5.19912270026823E-4 
File: 15734849.txt  Weight: 0.018425670606081693 
File: 15749695.txt  Weight: 0.04991775406849925 
File: 15764607.txt  Weight: 0.01625826638741901 
File: 15767256.txt  Weight: 0.005438766397781823 
File: 15772078.txt  Weight: 5.234695329724221E-4 
File: 15772272.txt  Weight: 1.1990225328622301E-4 
File: 15781471.txt  Weight: 1.641917379458867E-4 
File: 15781953.txt  Weight: 0.002892326043800682 
File: 15793260.txt  Weight: 0.001038069014496145 
File: 15797978.txt  Weight: 2.4715213564902033E-4 
File: 15824068.txt  Weight: 3.7432475865481165E-4 
File: 15824102.txt  Weight: 6.916572394479418E-4 
File: 15827087.txt  Weight: 5.865121650793073E-4 
File: 15855338.txt  Weight: 0.013627235244581128 
File: 15863401.txt  Weight: 2.567265772884194E-4 
File: 15863497.txt  Weight: 6.420390771341739E-4 
File: 15888489.txt  Weight: 0.005155154108082045 
File: 15905202.txt  Weight: 3.870858882078108E-4 
File: 15914499.txt  Weight: 4.1122727786063393E-4 
File: 15919800.txt  Weight: 0.0023885856457151106 
File: 15919812.txt  Weight: 0.008673255554586472 
File: 15933224.txt  Weight: 8.6873977488116E-5 
File: 15939720.txt  Weight: 1.534258142213861E-4 
File: 15944156.txt  Weight: 0.08068665463259765 
File: 15944198.txt  Weight: 4.247481727799928E-4 
File: 15947006.txt  Weight: 4.646602664346794E-4 
File: 15967817.txt  Weight: 4.048026309256468E-4 
File: 15972356.txt  Weight: 3.042510173603356E-4 
File: 16014628.txt  Weight: 7.693397600736041E-4 
File: 16027115.txt  Weight: 0.006228966992724262 
File: 16033878.txt  Weight: 0.011235902719087512 
File: 16046300.txt  Weight: 0.0043091073594864054 
File: 16055825.txt  Weight: 0.004228806200287796 
File: 16079141.txt  Weight: 0.0012490060475559494 
File: 16091362.txt  Weight: 0.0027975444765807023 
File: 16091421.txt  Weight: 0.01622891005959196 
File: 16103124.txt  Weight: 4.2997267322856034E-4 
File: 16115821.txt  Weight: 0.001921876094807575 
File: 16123158.txt  Weight: 0.006503348296019166 
File: 16123342.txt  Weight: 0.00741748079527462 
File: 16123365.txt  Weight: 0.011591189009852844 
File: 16127173.txt  Weight: 0.0051745563102788 
File: 16129676.txt  Weight: 1.0982637000650654E-4 
File: 16135870.txt  Weight: 0.0015291213696284466 
File: 16154999.txt  Weight: 0.018128611012936405 
File: 16159888.txt  Weight: 9.141000006380975E-4 
File: 16162502.txt  Weight: 0.008499336211089488 
File: 16172206.txt  Weight: 1.2987638294835837E-4 
File: 16176937.txt  Weight: 8.928312779160363E-4 
File: 16179343.txt  Weight: 0.015141352401413297 
File: 16186110.txt  Weight: 0.0011397877221017735 
File: 16186385.txt  Weight: 0.01620225919546359 
File: 16195395.txt  Weight: 4.195858260343777E-4 
File: 16204351.txt  Weight: 9.293141144532849E-4 
File: 16249427.txt  Weight: 0.014349277121959504 
File: 16269443.txt  Weight: 6.061879311189081E-4 
File: 7559602.txt  Weight: 5.773081290927561E-5 
File: 7592982.txt  Weight: 7.994418323475682E-4 
File: 7721886.txt  Weight: 4.1664209665403146E-4 
File: 7775475.txt  Weight: 3.4201597123384816E-4 
File: 7822291.txt  Weight: 0.023152918056839805 
File: 7876155.txt  Weight: 7.835706222775141E-4 
File: 8576160.txt  Weight: 4.3769445840615426E-4 
File: 8621425.txt  Weight: 4.7139615580236386E-4 
File: 8626761.txt  Weight: 8.752846429397184E-4 
File: 8817335.txt  Weight: 0.007118298891956906 
File: 8817346.txt  Weight: 4.985586714496108E-4 
File: 8842726.txt  Weight: 1.6146035467183608E-4 
File: 8845840.txt  Weight: 7.847876063388889E-4 
File: 8923011.txt  Weight: 0.0018624187568705055 
File: 8968739.txt  Weight: 3.23000351822856E-4 
File: 8977391.txt  Weight: 0.0023544656499970913 
File: 8995420.txt  Weight: 1.1859376562665574E-4 
File: 8999897.txt  Weight: 0.0012756359865461397 
File: 9013610.txt  Weight: 9.923541220671485E-4 
File: 9016644.txt  Weight: 1.24318356022599E-4 
File: 9024689.txt  Weight: 1.8842799240635844E-4 
File: 9054413.txt  Weight: 0.0010745309432024376 
File: 9065445.txt  Weight: 1.191935161185151E-4 
File: 9065848.txt  Weight: 1.2001049880662511E-4 
File: 9087441.txt  Weight: 2.9047042504217136E-4 
File: 9087449.txt  Weight: 8.126515984658915E-4 
File: 9105049.txt  Weight: 0.0014365121413608816 
File: 9112383.txt  Weight: 0.001713530600571777 
File: 9211880.txt  Weight: 0.0017638267202061367 
File: 9231799.txt  Weight: 0.08923326432363898 
File: 9242566.txt  Weight: 3.72954388492419E-4 
File: 9242638.txt  Weight: 1.9365022373223756E-4 
File: 9285791.txt  Weight: 0.0023426282210671297 
File: 9300660.txt  Weight: 0.0022903749840626378 
File: 9302273.txt  Weight: 0.0045191365663074445 
File: 9302276.txt  Weight: 0.0011828702535195451 
File: 9328479.txt  Weight: 1.9203955284281907E-4 
File: 9328480.txt  Weight: 0.003039979986652773 
File: 9334350.txt  Weight: 0.002489694332239235 
File: 9357792.txt  Weight: 0.04307091747165889 
File: 9358171.txt  Weight: 2.769769654377153E-4 
File: 9384602.txt  Weight: 0.008919271079089491 
File: 9449619.txt  Weight: 2.313099831413106E-4 
File: 9467014.txt  Weight: 0.00253897596991751 
File: 9492040.txt  Weight: 3.438397648491141E-4 
File: 9536099.txt  Weight: 0.009641724895306071 
File: 9536100.txt  Weight: 0.004970162958211091 
File: 9548726.txt  Weight: 1.6849238380478078E-4 
File: 9553108.txt  Weight: 3.91966692979346E-4 
File: 9564847.txt  Weight: 0.007044204028968184 
File: 9575200.txt  Weight: 7.060117454205504E-4 
File: 9585419.txt  Weight: 9.299201486966386E-4 
File: 9593752.txt  Weight: 0.0011173072726093202 
File: 9603784.txt  Weight: 0.00506031136100043 
File: 9607774.txt  Weight: 0.001170898002871214 
File: 9624107.txt  Weight: 0.0012970610767464416 
File: 9685360.txt  Weight: 0.0010503024302734758 
File: 9694821.txt  Weight: 0.010708666930482292 
File: 9700193.txt  Weight: 1.4795782907056312E-4 
File: 9700196.txt  Weight: 0.0019764454975042716 
File: 9700202.txt  Weight: 4.1057829081843627E-4 
File: 9700207.txt  Weight: 0.001713785759810669 
File: 9700208.txt  Weight: 0.0028444949745947083 
File: 9742243.txt  Weight: 1.1161097025300334E-4 
File: 9751483.txt  Weight: 0.08127822243952636 
File: 9763580.txt  Weight: 8.132196036068967E-5 
File: 9786949.txt  Weight: 3.475463610877579E-4 
File: 9794462.txt  Weight: 0.029793463062340642 
File: 9811931.txt  Weight: 0.0026636797426375547 
File: 9811940.txt  Weight: 0.00779293770412837 
File: 9887334.txt  Weight: 6.975899042004219E-4 
File: 9914274.txt  Weight: 1.3108633042881778E-4 
File: 9931331.txt  Weight: 0.005709820810850123 
File: 9989978.txt  Weight: 2.9707041515405797E-4 
